time_s,fuel_power_engine1_kw,fuel_power_engine2_kw,fuel_power_engine3_kw,battery_power_kw,electric_load_kw,propeller_power_kw
3187.12,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3197.15,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3207.17,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3217.19,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3227.21,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3237.24,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3247.26,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3257.28,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3267.3,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3277.32,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3287.35,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3297.37,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3307.39,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3317.41,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3327.44,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3337.46,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3347.48,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3357.5,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3367.53,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3377.55,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3387.57,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3397.59,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3407.62,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3417.64,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3427.66,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3437.68,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3447.71,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3457.73,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3467.75,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3477.77,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3487.8,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3497.82,7110.0,7110.0,2680.0,0.73,100.0,3120.0
3507.84,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3517.86,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3527.88,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3537.91,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3547.93,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3557.95,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3567.97,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3578.0,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3588.02,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3598.04,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3608.06,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3618.09,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3628.11,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3638.13,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3648.15,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3658.18,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3668.2,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3678.22,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3688.24,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3698.27,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3708.29,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3718.31,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3728.33,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3738.36,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3748.38,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3758.4,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3768.42,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3778.44,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3788.47,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3798.49,7110.0,7110.0,2680.0,0.73,100.0,3130.0
3808.51,7110.0,7110.0,2680.0,0.73,100.0,3130.0
